DateTime,ElapsedSeconds,ESP32_UID,MouseID,Sex,Strain,LibraryVer,Program,FR,Event,PelletCount,LeftCount,RightCount,CenterCount,BlockPelletCount,BlockPokeCount,RetrievalTime,PokeDuration,DispenseError,MotorTurns,Motion,Temperature,Humidity,Pressure,GasResistance,Lux,White,FreeHeap,HeapSize,MinFreeHeap,WakeCount,BatteryVoltage,BatteryPercent
2026-06-30 00:31:11,45641.398438,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletDrop,9,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-30 00:31:32,45661.937500,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletTaken,9,0,0,2,0,0,TimedOut,542.000,0,1,,,,,,,,,,,,,,,,
2026-06-30 00:31:39,45669.109375,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletDrop,10,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-30 00:31:59,45689.062500,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletTaken,10,0,0,2,0,0,19.408,542.000,0,1,,,,,,,,,,,,,,,,
2026-06-30 00:32:06,45696.253906,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletDrop,11,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-30 00:32:26,45716.789062,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletTaken,11,0,0,2,0,0,TimedOut,542.000,0,1,,,,,,,,,,,,,,,,
2026-06-30 00:36:38,45968.257812,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,11,0,0,2,0,0,,,,,Disabled,25.6,40.1,993.0,15.5,0.000,0.000,253872,344900,250888,1878,4.05,82.70
2026-06-30 00:46:50,46581.046875,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,11,0,0,2,0,0,,,,,Disabled,25.5,40.3,993.0,15.6,0.000,0.000,253872,344900,250888,1903,4.04,82.54
2026-06-30 00:57:03,47193.828125,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,Status,11,0,0,2,0,0,,,,,Disabled,25.5,40.5,993.0,15.6,0.000,0.000,253872,344900,250888,1928,4.04,82.38
2026-06-30 01:03:20,47571.468750,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletDrop,12,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,
2026-06-30 01:03:37,47588.449219,B0DB8AF16E20,mous,male,C57BL/6,1.1.1,FreeFeed,0,PelletTaken,12,0,0,2,0,0,16.417,542.000,0,1,,,,,,,,,,,,,,,,
